user,server,ilp_user,ilp_time,greedy_user,greedy_time,rl_act_user,rl_act_time,rl_und_user,rl_und_time,rl_prop_user,rl_prop_time,rl_thres10_user,rl_thres10_time
500.0,20.0,50.0,7.299817323997559,37.0,0.0891689519994543,227.0,0.6453328859934118,195.0,0.01326907800103072,264.0,0.01130314599868143,264.0,0.010303732997272164
500.0,20.0,44.0,0.4953669250025996,34.0,0.08574142300494714,214.0,0.01018988299620105,164.0,0.009679586000856943,238.0,0.009718203997181263,238.0,0.009804179004277103
500.0,20.0,47.0,0.4799041969963582,36.0,0.08210203199996613,203.0,0.010117755002283957,169.0,0.009602897996956017,216.0,0.009717777000332717,216.0,0.010222427998087369
500.0,20.0,45.0,0.4667774190020282,35.0,0.08212535500206286,200.0,0.011087938000855502,158.0,0.010107348003657535,232.0,0.010088072005601134,232.0,0.010780231998069212
500.0,20.0,44.0,0.47191576399927726,40.0,0.09109581999655347,252.0,0.010568331003014464,186.0,0.010069087998999748,281.0,0.01027903499925742,286.0,0.010146672000701074
500.0,20.0,50.0,0.4603383879948524,37.0,0.07842683100170689,220.0,0.01026163899950916,193.0,0.009923899000568781,248.0,0.009935107998899184,248.0,0.009939622999809217
500.0,20.0,49.0,0.5420635479968041,36.0,0.10367731699807337,223.0,0.025108112997259013,186.0,0.021006169001339003,251.0,0.02007481899636332,251.0,0.021877828003198374
500.0,20.0,45.0,0.5688464389968431,34.0,0.07949696099967696,214.0,0.010217995994025841,168.0,0.009820022998610511,238.0,0.009965359000489116,238.0,0.009997328001190908
500.0,20.0,45.0,0.5105097480045515,37.0,0.08202829599758843,192.0,0.011147141995024867,162.0,0.010219168005278334,205.0,0.010300462003215216,205.0,0.010795731002872344
500.0,20.0,45.0,0.4924918760007131,34.0,0.07655952400091337,207.0,0.010417648998554796,157.0,0.009721498005092144,226.0,0.010034792001533788,226.0,0.010728405002737418
500.0,20.0,46.0,0.4897927990023163,36.0,0.08676802799891448,225.0,0.010423348998301663,203.0,0.010059836000436917,267.0,0.01011661600205116,267.0,0.010159539000596851
500.0,20.0,47.0,0.6011971609987086,35.0,0.08161307900445536,225.0,0.010934031000942923,191.0,0.010588955999992322,256.0,0.010625260998494923,256.0,0.010579622998193372
500.0,20.0,46.0,0.5216821919966605,39.0,0.09745099199790275,230.0,0.01206442999682622,208.0,0.012587167999299709,279.0,0.012315726999077015,279.0,0.01314247099799104
500.0,20.0,45.0,0.5259167380063445,37.0,0.09980946499854326,216.0,0.011515778001921717,190.0,0.011204525995708536,248.0,0.01179279700590996,248.0,0.01123335099691758
500.0,20.0,44.0,0.5484272329995292,32.0,0.10701537499699043,219.0,0.012366383001790382,193.0,0.015562961998512037,257.0,0.013042741004028358,257.0,0.014097974999458529
500.0,20.0,46.0,0.6273559559995192,34.0,0.09670856099546654,223.0,0.013027881999732926,189.0,0.01331628899788484,270.0,0.01505890500266105,270.0,0.01341633000265574
500.0,20.0,46.0,0.7319550139945932,36.0,0.09222091300034663,198.0,0.011686681005812716,137.0,0.011237017002713401,218.0,0.01137328000186244,218.0,0.011373259003448766
500.0,20.0,44.0,0.566279928003496,36.0,0.09156296699802624,214.0,0.011971440006163903,175.0,0.011175117004313506,256.0,0.012512025998148602,256.0,0.01218921899999259
500.0,20.0,49.0,0.5354767949975212,38.0,0.09018951500183903,212.0,0.011264912005572114,180.0,0.010811200998432469,262.0,0.010889010001847055,262.0,0.010939048996078782
500.0,20.0,44.0,0.6119002490013372,30.0,0.07453740400524111,170.0,0.014042786999198142,150.0,0.012669509000261314,180.0,0.01187204699817812,180.0,0.012604932002432179
500.0,20.0,47.0,0.5140428039958351,37.0,0.08722736300114775,200.0,0.010775479997391813,158.0,0.010389716997451615,233.0,0.010513831999560352,233.0,0.010491969995200634
500.0,20.0,46.0,0.5170806800015271,34.0,0.07876770599978045,194.0,0.01030659399839351,177.0,0.010076271995785646,215.0,0.010238775001198519,215.0,0.010218919996987097
500.0,20.0,49.0,0.5252530889993068,37.0,0.09785961300076451,226.0,0.010996090997650754,209.0,0.010452151000208687,264.0,0.01059429399902001,264.0,0.01060511999821756
500.0,20.0,47.0,0.5752140949989553,41.0,0.07381369399809046,193.0,0.010347152994654607,171.0,0.009813151002163067,217.0,0.010006415999669116,217.0,0.00996088899410097
500.0,20.0,49.0,0.5094698300017626,40.0,0.0842476749967318,206.0,0.010679186001652852,172.0,0.010320419001800474,233.0,0.010392698000941891,233.0,0.01034066599822836
500.0,20.0,44.0,0.5043897080031456,36.0,0.08717541500664083,208.0,0.010370405005232897,171.0,0.010073461999127176,229.0,0.010114339995197952,229.0,0.010054498001409229
500.0,20.0,44.0,0.5138111770065734,32.0,0.08357652700215112,200.0,0.010717656004999299,145.0,0.010283757997967768,233.0,0.010441710001032334,233.0,0.010657509003067389
500.0,20.0,47.0,0.5739741599973058,36.0,0.08473421999951825,204.0,0.01050100599968573,204.0,0.010207774001173675,250.0,0.010190969005634543,250.0,0.010227369995845947
500.0,20.0,51.0,0.501350498998363,40.0,0.07331535800040001,196.0,0.010312136000720784,164.0,0.00990722699498292,218.0,0.010027726006228477,218.0,0.00992362700344529
500.0,20.0,45.0,0.4975127310026437,37.0,0.08386597299977439,214.0,0.010531584994168952,196.0,0.010119701997609809,247.0,0.010242358999676071,247.0,0.01023697700293269
500.0,20.0,44.0,0.5012703399988823,36.0,0.08977733400388388,234.0,0.01062395700137131,222.0,0.010224798999843188,272.0,0.010620301000017207,272.0,0.010687487003451679
