user,server,ilp_user,ilp_time,greedy_user,greedy_time,rl_user,rl_time
500,20,207,8.09856361799757,195,0.083573129006254,255,0.162338776004617
500,20,171,0.493862692994298,150,0.08332143300504,251,0.010583970994048
500,20,208,0.682449571999314,186,0.088364010996884,271,0.010856048000278
500,20,209,0.80279288499878,193,0.082964768000238,270,0.010637446001056
500,20,191,0.503050610997889,176,0.08369938100077,244,0.010313011000108
500,20,223,0.559720493001805,199,0.087366180996469,277,0.01107039499766
500,20,209,0.531933794001816,195,0.076054927005316,243,0.010238437003864
500,20,197,0.607205034000799,184,0.080991606999305,229,0.010410324997793
500,20,193,0.518256930001371,177,0.090428846000577,227,0.014592619001633
500,20,183,0.869359117001295,173,0.10735955099517,216,0.015089677996002
500,20,172,0.572530764002295,155,0.086814645001141,237,0.011515454003529
500,20,193,0.632198102997791,172,0.084308698998939,242,0.011643222002022
500,20,179,0.547824074994423,161,0.087005173001671,234,0.011220602005778
500,20,193,0.619321507001587,181,0.084327262004081,228,0.011210819997359
500,20,193,0.575615077999828,178,0.083991379004147,239,0.011505565002153
500,20,219,1.13356079799996,196,0.105055859996355,285,0.015669546002755
500,20,186,0.641585609999311,172,0.095235089000198,241,0.013802950001264
500,20,175,0.82854072900227,169,0.091618133999873,208,0.012136838005972
500,20,191,0.685383634001482,171,0.109060791997763,229,0.018896089997725
500,20,203,25.3720838730005,183,0.102154881002207,246,0.01447312500386
500,20,204,0.580596478997904,184,0.091416083996592,264,0.0112543130017
500,20,167,25.3335785640011,155,0.097009334996983,223,0.018143711000448
500,20,202,0.999605409997457,183,0.091300800006138,253,0.011391678002838
500,20,212,0.689817540995136,183,0.103682296001352,263,0.01201706899883
500,20,208,1.85383413400268,189,0.102142029994866,269,0.011825645997305
500,20,190,0.588663854003244,176,0.098285233005299,239,0.011858700003359
500,20,199,0.614088123998954,181,0.094185968999227,247,0.012077605999366
500,20,187,0.666051018000871,177,0.106990551001218,228,0.013777753003524
500,20,204,0.732200021004246,188,0.149812512994686,262,0.018863934994442
500,20,188,0.920631255001354,173,0.123525228998915,232,0.018058616005874
500,20,191,0.703180406999309,179,0.108533054000873,232,0.015497305997997
500,20,197,0.818874360003974,182,0.121670715001528,243,0.01923630899546
500,20,212,1.11857627800055,191,0.129586595998262,258,0.018168377006077
500,20,198,0.712981359996775,181,0.110465244004445,232,0.016671119999956
500,20,193,0.802853511995636,177,0.133006175994524,271,0.024205982997955
500,20,205,0.764547241997207,192,0.123801890003961,239,0.018836390001525
500,20,204,3.94761013900279,186,0.125289939998765,264,0.015402965000249
500,20,198,0.619718076995923,176,0.098146803997224,247,0.013681089003512
500,20,171,0.582535856003233,159,0.093586348004465,209,0.014219325996237
500,20,183,0.767885945999296,165,0.107042624003952,227,0.017952053000045
500,20,207,1.06582874199376,189,0.148642271000426,279,0.015959645003022
500,20,188,0.799555079000129,176,0.096526725996228,241,0.012925925999298
500,20,219,1.38708895599848,204,0.112727198000357,277,0.012528652005131
500,20,201,1.03924570899835,187,0.114845288997458,251,0.015615850999893
500,20,201,0.769644884996524,184,0.088410648997524,277,0.012017704000755
500,20,193,0.709037483000429,175,0.087603289000981,249,0.011344834005286
500,20,180,0.792233879998094,171,0.089547114002926,213,0.011770252000133
500,20,204,0.78508826399775,187,0.107395710998389,259,0.012479541997891
500,20,199,25.5809411630034,185,0.106074189003266,244,0.021830603996932
500,20,210,0.569877533002,192,0.10102436800662,282,0.012212652996823
500,40,376,1.22378032699635,345,0.185841537997476,417,0.02144804999989
500,40,339,1.38499266799772,304,0.176713494998694,378,0.020471707000979
500,40,338,1.19313235799928,310,0.187735899999097,372,0.023636051002541
500,40,329,14.9611051329994,302,0.174622238999291,375,0.024035404996539
500,40,331,1.31731995100563,307,0.191043412996805,368,0.020785495005839
500,40,324,1.31339146399841,303,0.187231782001618,381,0.020870674001344
500,40,310,1.58406353899773,290,0.194858004004345,358,0.02201056299964
500,40,334,1.30822260199784,314,0.182509370999469,396,0.020559285003401
500,40,321,1.13014221600315,300,0.158541826000146,346,0.020282625002437
500,40,345,2.99121073700371,319,0.194338465000328,372,0.030103721001069
500,40,327,25.5943989760053,305,0.188023398004589,352,0.029468752996763
500,40,341,1.3334961799992,321,0.189299666999432,369,0.025795869994909
500,40,335,1.38485988900356,305,0.203175077003834,380,0.022632598993369
500,40,336,1.24586332099716,310,0.180040703002305,368,0.020571469998686
