user,server,ilp_user,ilp_time,greedy_user,greedy_time,rl_lin_user,rl_lin_time,rl_exp_user,rl_exp_time
100.0,50.0,81.0,5.673744822999652,81.0,0.04502665800100658,81.0,0.1839708959996642,81.0,0.018829300001016236
100.0,50.0,81.0,0.24746278400016308,81.0,0.04210743200019351,81.0,0.020096663998629083,81.0,0.025934545999916736
100.0,50.0,81.0,0.22984116000043286,81.0,0.04265960900011123,81.0,0.0186080330004188,81.0,0.019249368999226135
100.0,50.0,86.0,0.2297212909998052,86.0,0.03844797199963068,86.0,0.018541422999987844,86.0,0.018149523000829504
100.0,50.0,71.0,0.23412800799997058,71.0,0.03578013900005317,71.0,0.018226304000563687,71.0,0.017850000000180444
100.0,50.0,79.0,0.2353837750015373,79.0,0.04477980400042725,79.0,0.02270431000033568,79.0,0.020886297001197818
100.0,50.0,74.0,0.3156381879998662,74.0,0.03964039600032265,74.0,0.01817984800072736,74.0,0.017760338998414227
100.0,50.0,88.0,0.22636624400001892,88.0,0.0405261519990745,88.0,0.018355811000219546,88.0,0.01890126199941733
100.0,50.0,86.0,0.2275376489997143,86.0,0.04162042399912025,86.0,0.018396560999462963,86.0,0.0179358149998734
100.0,50.0,80.0,0.22735976100011612,80.0,0.03837206999924092,80.0,0.018441484000504715,80.0,0.01775417099997867
100.0,50.0,85.0,0.223768193000069,85.0,0.044952762000320945,85.0,0.021987762000208022,85.0,0.022262422000494553
100.0,50.0,80.0,0.2276185290011199,80.0,0.03966367900102341,80.0,0.021434817001136253,80.0,0.021316393000233802
100.0,50.0,82.0,0.20858713400048146,82.0,0.04237595800077543,82.0,0.018179028000304243,82.0,0.01773895599944808
100.0,50.0,87.0,0.22698927499914134,87.0,0.03776579099940136,87.0,0.018253930000355467,87.0,0.017801715999667067
100.0,50.0,80.0,0.3112487530015642,80.0,0.0424422100004449,80.0,0.019353154000782524,80.0,0.018876319998526014
100.0,50.0,74.0,0.23221426800046174,74.0,0.03668416100117611,74.0,0.018188691001341795,74.0,0.01771028899929661
100.0,50.0,82.0,0.2293362070013245,82.0,0.03978427800029749,82.0,0.018224069999632775,82.0,0.018022519998339703
100.0,50.0,80.0,0.23252332399897568,80.0,0.04367256300065492,80.0,0.01910420000058366,80.0,0.01864376099911169
100.0,50.0,84.0,0.2571675610015518,84.0,0.04726422800013097,84.0,0.019925018999856547,84.0,0.019596324000303866
100.0,50.0,80.0,0.25142497200067737,80.0,0.0425685579994024,80.0,0.02511493000019982,80.0,0.019415577999097877
100.0,50.0,84.0,0.2551041750011791,84.0,0.04430333399977826,84.0,0.020392728998558596,84.0,0.019586876000175835
100.0,50.0,92.0,0.25193178600056854,92.0,0.05182447399965895,92.0,0.02001928200115799,92.0,0.019438545999946655
100.0,50.0,90.0,0.3186629029987671,90.0,0.04401319499993406,90.0,0.019115577999400557,90.0,0.018780640999466414
100.0,50.0,73.0,0.25823268400017696,73.0,0.03775673100062704,73.0,0.019706725999640184,73.0,0.01939209000011033
100.0,50.0,73.0,0.25425863199961896,73.0,0.038070458998845425,73.0,0.019839194999804022,73.0,0.01944372099933389
100.0,50.0,85.0,0.2516870809995453,85.0,0.041417447000640095,85.0,0.0197784510000929,85.0,0.019553617001292878
100.0,50.0,91.0,0.2442236929982755,91.0,0.05364438499964308,91.0,0.01983144099904166,91.0,0.023542284001450753
100.0,50.0,87.0,0.2636021990001609,87.0,0.047291757999119,87.0,0.020582102999469498,87.0,0.020078206000107457
100.0,50.0,85.0,0.2489859550005349,85.0,0.04408589700142329,85.0,0.019836538000163273,85.0,0.019440616999418125
100.0,50.0,88.0,0.2554891330000828,88.0,0.043378920998293324,88.0,0.022347805001118104,88.0,0.01953484700061381
100.0,50.0,75.0,0.3278007000008074,75.0,0.04222910800126556,75.0,0.019114029999400373,75.0,0.01878430400029174
100.0,50.0,83.0,0.25388608499997645,83.0,0.04486911499952839,83.0,0.019848068001010688,83.0,0.01946579300056328
100.0,50.0,91.0,0.24812555000062275,91.0,0.044213200999365654,91.0,0.01985055000113789,91.0,0.019523865999872214
100.0,50.0,81.0,0.25204154400125844,81.0,0.044301542000539484,81.0,0.01983102099984535,81.0,0.019394425000427873
100.0,50.0,81.0,0.24883753299945965,81.0,0.048054098999273265,81.0,0.019946563999837963,81.0,0.019363876001079916
100.0,50.0,82.0,0.25023940400024003,82.0,0.04355582500102173,82.0,0.019806030999461655,82.0,0.019480523998936405
100.0,50.0,81.0,0.2505251259990473,81.0,0.04311316399980569,81.0,0.019800610998572665,81.0,0.019452792999800295
100.0,50.0,77.0,0.2562893180001993,77.0,0.040981956999530667,77.0,0.019852613999319146,77.0,0.019392379001146764
100.0,50.0,83.0,0.3374736469995696,83.0,0.04327522499988845,83.0,0.019712403998710215,83.0,0.02064658800009056
100.0,50.0,85.0,0.24804626399964036,85.0,0.04325207999863778,85.0,0.01990828300040448,85.0,0.019483082000078866
100.0,50.0,88.0,0.25313576200096577,88.0,0.04321425600028306,88.0,0.01995367099880241,88.0,0.0196385420003935
100.0,50.0,82.0,0.254457105000256,82.0,0.03973763499925553,82.0,0.019830708999506896,82.0,0.019390437000765814
100.0,50.0,82.0,0.253151541999614,82.0,0.048112357000718475,82.0,0.019752918000449426,82.0,0.019423493999056518
100.0,50.0,87.0,0.23885137100114662,87.0,0.042169766000370146,87.0,0.01984838899988972,87.0,0.019558916999812936
100.0,50.0,88.0,0.26318397899922275,88.0,0.047195529001328396,88.0,0.021137833999091526,88.0,0.020859885000390932
100.0,50.0,85.0,0.25324463300057687,85.0,0.043367168998884154,85.0,0.019779770998866297,85.0,0.02198182000029192
100.0,50.0,78.0,0.3316027019991452,78.0,0.03736867000043276,78.0,0.019436851998761995,78.0,0.01867832399875624
100.0,50.0,81.0,0.2286106520004978,81.0,0.041653672999018454,81.0,0.021231311999144964,81.0,0.021494710999832023
100.0,50.0,76.0,0.2531523699999525,76.0,0.04160642599890707,76.0,0.019702256000527996,76.0,0.019693011998242582
100.0,50.0,83.0,0.2556761550004012,83.0,0.04024972799925308,83.0,0.020172435000858968,83.0,0.019625509999968926
200.0,50.0,161.0,0.48762433499905455,160.0,0.08983742800046457,163.0,0.02415107100023306,163.0,0.02169605400013097
200.0,50.0,164.0,0.47366764599973976,164.0,0.08767515799991088,164.0,0.020225489000949892,164.0,0.01975930799926573
200.0,50.0,151.0,0.5757578009997815,149.0,0.07900784999947064,151.0,0.020372507999127265,151.0,0.019565085000067484
200.0,50.0,179.0,0.4852078639996762,179.0,0.09025072700023884,179.0,0.02141895999920962,179.0,0.021095482999953674
200.0,50.0,170.0,0.4654158079993067,170.0,0.08548965199952363,170.0,0.021480946999872685,170.0,0.021365910999520565
200.0,50.0,166.0,0.4697642090013687,165.0,0.08349381299922243,166.0,0.01995905399962794,166.0,0.020169933000943274
200.0,50.0,175.0,0.5567662449993804,174.0,0.08334698599901458,175.0,0.021295046999512124,175.0,0.01980257900140714
200.0,50.0,162.0,0.48423970000112604,161.0,0.08560896199924173,166.0,0.022193322000021,166.0,0.022095418999015237
200.0,50.0,175.0,0.46681374900072115,175.0,0.09079870300047332,175.0,0.02051391699933447,175.0,0.0199415709994355
200.0,50.0,159.0,0.5128286749986728,159.0,0.08724803699988115,160.0,0.02097298199987563,160.0,0.023495653998907073
200.0,50.0,155.0,0.4812231529995188,155.0,0.0920048259995383,155.0,0.021528604000195628,155.0,0.021179057001063484
200.0,50.0,165.0,0.5407011909992434,165.0,0.07946440299929236,165.0,0.0203459299991664,165.0,0.0203878700012865
200.0,50.0,161.0,0.5099471779994929,161.0,0.07882035799957521,161.0,0.020643814999857568,161.0,0.0198613659995317
200.0,50.0,157.0,0.4972510970001167,153.0,0.11020434199963347,157.0,0.04522487000031106,157.0,0.04970492699976603
200.0,50.0,170.0,0.4526200290001725,170.0,0.08085319900055765,170.0,0.02032096099901537,170.0,0.020015853000586503
200.0,50.0,137.0,0.5598523640001076,137.0,0.08023492900065321,137.0,0.020149629999650642,137.0,0.019754736000322737
200.0,50.0,161.0,0.4855664379992959,161.0,0.08772494500044559,161.0,0.022714985998391057,161.0,0.020441953000045032
200.0,50.0,166.0,0.48945041300066805,166.0,0.08712689200001478,166.0,0.02091086099972017,166.0,0.020587008000802598
200.0,50.0,173.0,0.47525427999971726,172.0,0.09058457200080738,173.0,0.020900571000311174,173.0,0.020570382999721915
200.0,50.0,163.0,0.5452766839989636,161.0,0.0821883410008013,163.0,0.020229047999237082,163.0,0.01973858600103995
200.0,50.0,176.0,0.4700735970000096,175.0,0.09792624799956684,176.0,0.021106660999066662,176.0,0.02071022700147296
200.0,50.0,170.0,0.4623151659998257,170.0,0.08795224200002849,170.0,0.02195794100043713,170.0,0.020722586999909254
200.0,50.0,156.0,0.4651511820011365,154.0,0.09506153099937364,156.0,0.022360947001288878,156.0,0.021777539001050172
200.0,50.0,177.0,0.5605998989994987,174.0,0.08424875200034876,179.0,0.02082591700127523,179.0,0.019926616998418467
200.0,50.0,166.0,0.5363492309988942,166.0,0.08880735100137827,166.0,0.0237432540016016,166.0,0.02270652399965911
200.0,50.0,174.0,0.5433618810002372,170.0,0.11069745700115163,180.0,0.023200425999675645,180.0,0.022855424000226776
200.0,50.0,164.0,0.502857530998881,164.0,0.10347785299927637,167.0,0.029410577999442467,167.0,0.026216076999844518
200.0,50.0,168.0,0.533831740000096,167.0,0.10990881999896374,169.0,0.030281096000180696,169.0,0.032906538999668555
200.0,50.0,160.0,0.6329222839995055,159.0,0.09613518900005147,160.0,0.03008288799901493,160.0,0.02481158599948685
200.0,50.0,155.0,0.5694101749995752,155.0,0.09903777999898011,155.0,0.027367062999474,155.0,0.030232924000301864
200.0,50.0,152.0,0.7882066109996231,151.0,0.1298338060005335,152.0,0.03707570999904419,152.0,0.036136492000878206
200.0,50.0,170.0,0.612839539999186,169.0,0.11839756799963652,170.0,0.033077880998462206,170.0,0.036522527001579874
200.0,50.0,163.0,0.7417637599992304,163.0,0.12835100300071645,163.0,0.03864225399956922,163.0,0.039036465999743086
200.0,50.0,165.0,0.6305218859997694,163.0,0.10097830700033228,165.0,0.0254322159998992,165.0,0.024980554999274318
200.0,50.0,159.0,0.5349760160006554,157.0,0.10711131599964574,161.0,0.025996696000220254,161.0,0.02467006799997762
200.0,50.0,159.0,0.517553569001393,159.0,0.09795296800075448,159.0,0.02455683700100053,159.0,0.02277655200123263
200.0,50.0,165.0,0.5868865640004515,165.0,0.08864457399977255,165.0,0.026260057000399684,165.0,0.023450848999345908
200.0,50.0,170.0,0.500796000000264,170.0,0.08874920199923508,171.0,0.022143335001601372,171.0,0.02127514400126529
200.0,50.0,162.0,0.5121764399991662,161.0,0.09489886300070793,162.0,0.022285361999820452,162.0,0.020870097998340498
200.0,50.0,171.0,0.5255948639987764,171.0,0.08938295300140453,171.0,0.021105545998580055,171.0,0.021430134000183898
200.0,50.0,156.0,0.5757541740003944,156.0,0.08489324200127157,156.0,0.020900650999465142,156.0,0.020550401000946295
200.0,50.0,158.0,0.4684575510000286,158.0,0.08930998100004217,158.0,0.023757113000101526,158.0,0.020708788000774803
200.0,50.0,166.0,0.5517442769996705,166.0,0.08723078000002715,168.0,0.02144234399929701,168.0,0.021007142999224016
200.0,50.0,171.0,0.47571502800019516,171.0,0.08739675099968736,172.0,0.02107300399984524,172.0,0.024850167999829864
200.0,50.0,149.0,0.4799709230010194,149.0,0.08423314900028345,149.0,0.021064848000605707,149.0,0.02129635799974494
200.0,50.0,171.0,0.5903630199991312,167.0,0.09578911299831816,171.0,0.022815037998952903,171.0,0.021666870999979437
200.0,50.0,158.0,0.4908317050012556,158.0,0.0864769139989221,158.0,0.02083821800079022,158.0,0.020373596000354155
200.0,50.0,156.0,0.5127652490009496,156.0,0.0977791730001627,156.0,0.025411730999621795,156.0,0.02543745999901148
200.0,50.0,171.0,0.5015162190011324,171.0,0.08792433900089236,171.0,0.021484617000169237,171.0,0.02106064599865931
200.0,50.0,161.0,0.5630300520006131,161.0,0.09378408500015212,161.0,0.020770835999428527,161.0,0.020228334999046638
