user,server,ilp_user,ilp_time,greedy_user,greedy_time,rl_act_user,rl_act_time,rl_und_user,rl_und_time,rl_prop_user,rl_prop_time,rl_thres10_user,rl_thres10_time
100.0,30.0,45.0,6.897818001991254,41.0,0.026540595004917122,77.0,0.16797821699583437,70.0,0.012435440003173426,77.0,0.019812212995020673,77.0,0.012341107008978724
100.0,30.0,42.0,0.1408141069987323,41.0,0.02078867300588172,50.0,0.01166639399889391,49.0,0.011208384996280074,50.0,0.011194200997124426,50.0,0.011300377998850308
100.0,30.0,40.0,0.16780970300897025,35.0,0.02519927200046368,63.0,0.011811283009592444,59.0,0.011184301998582669,64.0,0.011243720990023576,64.0,0.011241693995543756
100.0,30.0,43.0,0.16476634299033321,42.0,0.026608261003275402,70.0,0.01177882999763824,67.0,0.01125441699696239,70.0,0.011259852995863184,70.0,0.011285879998467863
100.0,30.0,51.0,0.14906629199685995,43.0,0.02535826498933602,75.0,0.011711871004081331,72.0,0.011279804995865561,75.0,0.011246858004597016,75.0,0.011284175008768216
100.0,30.0,46.0,0.16646925199893303,44.0,0.02745153399882838,73.0,0.011716559005435556,68.0,0.01128684300056193,73.0,0.011209967007744126,73.0,0.011246334004681557
100.0,30.0,44.0,0.15772447099152487,43.0,0.023895311998785473,62.0,0.011611661000642926,52.0,0.011207004994503222,62.0,0.011155515006976202,62.0,0.011271533992839977
100.0,30.0,43.0,0.15992015499796253,41.0,0.026275379001162946,66.0,0.011582484992686659,55.0,0.011259185994276777,68.0,0.011328834996675141,68.0,0.01122276899695862
100.0,30.0,39.0,0.13387139698897954,35.0,0.020006014994578436,63.0,0.011484132992336527,55.0,0.011152299004606903,63.0,0.011118112000986002,63.0,0.011205109010916203
100.0,30.0,44.0,0.23741728100867476,44.0,0.022572490997845307,56.0,0.011462740993010812,51.0,0.01112579800246749,56.0,0.011044146987842396,56.0,0.011085904014180414
100.0,30.0,49.0,0.16993338099564426,44.0,0.0323094380000839,79.0,0.011548950002179481,73.0,0.011302998987957835,79.0,0.011314649993437342,79.0,0.011215177000849508
100.0,30.0,38.0,0.17178155601141043,32.0,0.023465710997697897,65.0,0.011503515008371323,54.0,0.01111316900642123,65.0,0.011086146012530662,65.0,0.011107450001873076
100.0,30.0,48.0,0.16355493699666113,46.0,0.024851748006767593,65.0,0.0114396730059525,63.0,0.011208679003175348,65.0,0.011098408998805098,65.0,0.01112855999963358
100.0,30.0,46.0,0.2155151999904774,42.0,0.026764992988319136,65.0,0.01162111600569915,62.0,0.011208668001927435,65.0,0.011139217996969819,65.0,0.011135764012578875
100.0,30.0,43.0,0.19857850100379437,41.0,0.027485807993798517,72.0,0.011527451002621092,66.0,0.011140495000290684,72.0,0.011526886009960435,72.0,0.011193120997631922
100.0,30.0,43.0,0.2361350190039957,42.0,0.02926216900232248,60.0,0.01145242599886842,58.0,0.011129549995530397,60.0,0.01107210099871736,60.0,0.01110850999248214
100.0,30.0,46.0,0.17182527598924935,45.0,0.02580065099755302,71.0,0.011552365991519764,66.0,0.011238053994020447,71.0,0.011214982005185448,71.0,0.011236564998398535
100.0,30.0,42.0,0.1692367869982263,37.0,0.02504727299674414,63.0,0.01154464999854099,57.0,0.011110762992757373,63.0,0.01113567799620796,63.0,0.011791412005550228
100.0,30.0,48.0,0.1885398859885754,45.0,0.02781862299889326,65.0,0.011490953009342775,59.0,0.011162419003085233,65.0,0.011135063003166579,65.0,0.011171820995514281
100.0,30.0,45.0,0.1650129640038358,41.0,0.024176796010578983,62.0,0.011492385994642973,58.0,0.01111923999269493,62.0,0.011159714995301329,62.0,0.011119771006633528
100.0,30.0,46.0,0.14506166298815515,42.0,0.023338758008321747,63.0,0.012424008004018106,53.0,0.011169871999300085,63.0,0.011100228992290795,63.0,0.011124886004836299
100.0,30.0,37.0,0.16010995200485922,34.0,0.02426569200179074,61.0,0.011995269000180997,56.0,0.011105100013082847,61.0,0.01115354200010188,61.0,0.011073065004893579
100.0,30.0,44.0,0.13412312800937798,40.0,0.022016917006112635,62.0,0.011906933999853209,61.0,0.014287459998740815,62.0,0.011165231000632048,62.0,0.011084117999416776
100.0,30.0,45.0,0.16570493300969247,44.0,0.02590895000321325,65.0,0.011396429006708786,53.0,0.011161960996105336,65.0,0.01114560299902223,65.0,0.011162516006152146
100.0,30.0,49.0,0.15929769199283328,45.0,0.026157143991440535,67.0,0.011469680990558118,61.0,0.011256047000642866,67.0,0.01116353299585171,67.0,0.011196118997759186
100.0,30.0,45.0,0.16380804500658996,41.0,0.026447200987604447,69.0,0.011458002001745626,57.0,0.011185667986865155,69.0,0.011141082999529317,69.0,0.011115505010820925
100.0,30.0,46.0,0.13847854400228243,41.0,0.025786395010072738,61.0,0.011503405010444112,59.0,0.011151972008519806,61.0,0.01158034500258509,61.0,0.011170216996106319
100.0,30.0,52.0,0.18815306400938425,47.0,0.029869984995457344,76.0,0.01155932800611481,67.0,0.011220252999919467,76.0,0.011248283000895754,76.0,0.01123727198864799
100.0,30.0,43.0,0.14445244599482976,41.0,0.026460105000296608,66.0,0.011501140994369052,63.0,0.011198403997696005,66.0,0.011164926996571012,66.0,0.011132344996440224
100.0,30.0,44.0,0.17643648499506526,44.0,0.025783286997466348,68.0,0.011613566006417386,64.0,0.011316423988319002,68.0,0.011231210010009818,68.0,0.01124923099996522
100.0,30.0,48.0,0.17392036400269717,44.0,0.030833955999696627,69.0,0.011534801989910193,64.0,0.011260540995863266,69.0,0.01120485800493043,69.0,0.01125983901147265
