ram,cores,workload_cpu,workload_gpu,users_yolo,users_mnet,time_yolo,time_mnet
3000,2,40,125.0,100,100,15.215309858322144,17.846290826797485
3000,2,40,125.0,100,200,15.477644205093384,21.6906099319458
3000,2,40,125.0,100,300,15.443996667861938,27.328534603118896
3000,2,40,125.0,100,400,15.530826568603516,32.84759473800659
3000,2,40,125.0,100,500,16.192996501922607,38.68945574760437
3000,2,40,125.0,200,100,26.4539532661438,19.12955069541931
3000,2,40,125.0,200,200,26.668609380722046,27.586305856704712
3000,2,40,125.0,200,300,28.345635652542114,32.41627287864685
3000,2,40,125.0,200,400,28.302845001220703,37.56159424781799
3000,2,40,125.0,200,500,27.938400983810425,43.78614830970764
3000,2,40,125.0,300,100,37.676552295684814,20.010462045669556
3000,2,40,125.0,300,200,38.537428855895996,27.541199445724487
3000,2,40,125.0,300,300,40.35500931739807,35.15959882736206
3000,2,40,125.0,300,400,40.35328435897827,42.83896851539612
3000,2,40,125.0,300,500,39.366764545440674,48.61799716949463
3000,2,40,125.0,400,100,48.11654353141785,19.00412082672119
3000,2,40,125.0,400,200,48.83957386016846,27.337802410125732
3000,2,40,125.0,400,300,50.08606815338135,35.67207455635071
3000,2,40,125.0,400,400,51.1225368976593,44.88948345184326
3000,2,40,125.0,400,500,51.9570894241333,53.74222946166992
3000,2,40,125.0,500,100,58.253629207611084,17.412238597869873
3000,2,40,125.0,500,200,60.3131046295166,25.993469953536987
3000,2,40,125.0,500,300,61.50475525856018,35.715561628341675
3000,2,40,125.0,500,400,62.952433347702026,44.16731905937195
3000,2,40,125.0,500,500,62.897828817367554,53.567166566848755
3000,2,40,263.0,100,100,17.33401107788086,18.749680280685425
3000,2,40,263.0,100,200,17.08931016921997,24.27101731300354
3000,2,40,263.0,100,300,16.832226753234863,27.443175554275513
3000,2,40,263.0,100,400,16.819703102111816,33.562315940856934
3000,2,40,263.0,100,500,16.911131858825684,38.19517207145691
3000,2,40,263.0,200,100,28.524176120758057,19.505539894104004
3000,2,40,263.0,200,200,29.2784104347229,28.17842125892639
3000,2,40,263.0,200,300,30.739128828048706,33.75525164604187
3000,2,40,263.0,200,400,30.378315687179565,39.974534034729004
3000,2,40,263.0,200,500,30.87260150909424,43.92441749572754
3000,2,40,263.0,300,100,40.26743459701538,18.691311836242676
3000,2,40,263.0,300,200,41.575072288513184,29.561261415481567
3000,2,40,263.0,300,300,42.40110945701599,36.314453125
3000,2,40,263.0,300,400,43.04612588882446,46.54749274253845
3000,2,40,263.0,300,500,43.95061278343201,49.51801109313965
3000,2,40,263.0,400,100,51.728487968444824,19.8932147026062
3000,2,40,263.0,400,200,52.57636213302612,27.698124885559082
3000,2,40,263.0,400,300,54.003355503082275,36.907203912734985
3000,2,40,263.0,400,400,55.06911897659302,46.10097813606262
3000,2,40,263.0,400,500,56.914541721343994,57.03369498252869
3000,2,40,263.0,500,100,63.47022986412048,19.31322932243347
3000,2,40,263.0,500,200,64.30740857124329,29.84043002128601
3000,2,40,263.0,500,300,65.76649928092957,36.36974120140076
3000,2,40,263.0,500,400,66.65205812454224,45.59749674797058
3000,2,40,263.0,500,500,68.30852961540222,56.08543848991394
3000,2,40,491.0,100,100,17.484288930892944,19.21038556098938
3000,2,40,491.0,100,200,17.56139850616455,23.693967819213867
3000,2,40,491.0,100,300,18.062070846557617,28.05078673362732
3000,2,40,491.0,100,400,17.308764457702637,33.16675853729248
3000,2,40,491.0,100,500,17.890122175216675,38.51953601837158
3000,2,40,491.0,200,100,28.93485450744629,19.635550498962402
3000,2,40,491.0,200,200,30.71075177192688,29.752349615097046
3000,2,40,491.0,200,300,30.681580066680908,34.6505491733551
3000,2,40,491.0,200,400,31.591400384902954,38.61532711982727
3000,2,40,491.0,200,500,30.14693856239319,52.48240065574646
3000,2,40,491.0,300,100,41.927541732788086,20.569682121276855
3000,2,40,491.0,300,200,42.14196729660034,29.022960424423218
3000,2,40,491.0,300,300,43.614914417266846,36.66740798950195
3000,2,40,491.0,300,400,44.91811728477478,44.969873666763306
3000,2,40,491.0,300,500,43.724200963974,50.49640345573425
3000,2,40,491.0,400,100,52.753971576690674,20.407855987548828
3000,2,40,491.0,400,200,53.98512148857117,30.475509643554688
3000,2,40,491.0,400,300,54.86441421508789,35.64008951187134
3000,2,40,491.0,400,400,56.224002838134766,47.77976059913635
3000,2,40,491.0,400,500,57.29170751571655,57.41895318031311
3000,2,40,491.0,500,100,65.51577162742615,19.963534116744995
3000,2,40,491.0,500,200,65.32452392578125,30.16615104675293
3000,2,40,491.0,500,300,67.0994725227356,37.19808650016785
3000,2,40,491.0,500,400,67.92968463897705,47.82461094856262
