Wall time,Step,Value
1618323418.2789192,100564,192.61361694335938
1618323422.3552887,101284,210.054443359375
1618323422.8489094,101372,148.5970458984375
1618323424.6742427,101704,115.11688232421875
1618323427.1380227,102152,120.19552612304688
1618323427.6636043,102244,109.21090698242188
1618323430.98004,102844,149.72592163085938
1618323441.1489992,104672,57.0982551574707
1618323441.6578565,104764,28.919536590576172
1618323443.270855,105032,39.80141830444336
1618323453.653867,106892,5.831211090087891
1618323454.503519,107044,7.55952262878418
1618323458.012601,107672,7.263222694396973
1618323458.861697,107824,8.835359573364258
1618323460.014188,108032,7.181196689605713
1618323461.01337,108212,6.002474784851074
1618323466.9485328,109264,5.953780174255371
1618323467.2808971,109324,8.768112182617188
1618323468.64052,109564,6.212217807769775
1618323473.4756606,110432,6.378547191619873
1618323476.8117874,111032,6.865053176879883
1618323485.932376,112652,5.103597640991211
1618323486.1268306,112684,6.968996047973633
1618323489.5006204,113284,6.533892631530762
1618323489.9918218,113372,5.814729690551758
1618323492.5199404,113824,6.324777603149414
1618323493.0148156,113912,5.036491394042969
1618323493.190201,113944,6.2917938232421875
1618323494.8856523,114244,6.590136528015137
1618323505.462689,116104,5.5356597900390625
1618323510.1114633,116912,4.712447643280029
1618323512.791082,117392,4.772814750671387
1618323513.9908748,117604,6.717409133911133
1618323514.1552901,117632,5.158797264099121
1618323519.7808065,118624,6.0561628341674805
1618323522.1237292,119044,5.435694217681885
1618323523.4801867,119284,3.7585721015930176
1618323523.8070354,119344,4.075790882110596
1618323524.3197489,119432,4.89530611038208
1618323524.6617956,119492,6.965899467468262
1618323526.7006953,119852,7.001975059509277
1618323528.4434552,120152,5.868852615356445
1618323535.9085615,121444,5.769186019897461
1618323537.2592056,121684,6.351818561553955
1618323538.6144538,121924,4.283807754516602
1618323542.3745813,122584,6.949697971343994
1618323543.0526583,122704,4.757016181945801
1618323544.5834446,122972,3.76546049118042
1618323545.2787635,123092,4.757563591003418
1618323545.6156485,123152,5.465810775756836
1618323547.9874482,123572,5.410586357116699
1618323548.324595,123632,3.7233657836914062
1618323549.1790423,123784,4.9975810050964355
1618323549.5241854,123844,5.120463848114014
1618323550.8962383,124084,4.605835437774658
1618323552.0126717,124264,3.951406717300415
1618323552.221029,124292,5.282562255859375
1618323556.8991694,125104,6.454029083251953
1618323569.0167472,127232,4.146268844604492
1618323569.3619852,127292,4.341378211975098
1618323575.1784189,128284,3.721292018890381
1618323575.6853344,128372,4.531198501586914
1618323578.5828812,128884,5.285523414611816
1618323580.116003,129152,4.657853126525879
1618323580.304862,129184,6.399431228637695
1618323581.406097,129364,5.892831802368164
1618323581.5685651,129392,4.728038787841797
1618323582.4779787,129544,5.736936092376709
1618323585.5476053,130084,5.241092681884766
1618323586.0588946,130172,6.2851243019104
1618323587.601689,130444,5.729785919189453
1618323596.0461533,131912,6.436032295227051
1618323596.5721505,132004,3.0289013385772705
1618323597.5985937,132184,4.230797290802002
1618323598.6364148,132364,5.2050909996032715
1618323599.5379152,132512,4.684233665466309
1618323601.288123,132812,5.120494842529297
1618323602.3169901,132992,4.585655212402344
1618323603.1819096,133144,4.642185688018799
1618323612.1168528,134704,5.0282979011535645
1618323612.959152,134852,4.179440498352051
1618323613.1409066,134884,4.116934776306152
1618323616.2370117,135424,4.208485126495361
1618323618.4574564,135812,4.260440349578857
1618323620.703893,136204,5.173297882080078
1618323627.2434402,137344,4.282719612121582
1618323630.1637843,137852,5.556081771850586
1618323633.6100914,138452,4.282886981964111
1618323634.638511,138632,3.8365821838378906
1618323635.8383424,138844,5.227090835571289
1618323639.5945995,139504,3.5505011081695557
1618323640.097165,139592,5.3250322341918945
1618323642.0419111,139924,2.9482483863830566
1618323642.556843,140012,3.939361572265625
1618323643.0780926,140104,4.726973533630371
1618323643.2345924,140132,3.8489527702331543
1618323651.5201468,141572,3.2887933254241943
1618323652.5575278,141752,4.387809753417969
1618323652.7435892,141784,5.512936115264893
1618323656.5146503,142444,3.869626045227051
1618323658.612292,142804,6.070987224578857
1618323660.3349144,143104,4.6382222175598145
1618323665.5436435,144004,3.2336645126342773
1618323667.4481897,144332,3.7052509784698486
1618323668.835304,144572,4.366154193878174
1618323669.8606532,144752,5.0853271484375
1618323675.3907318,145712,3.7184386253356934
1618323676.06716,145832,4.973825454711914
1618323680.3554895,146584,3.3284049034118652
1618323683.1112392,147064,4.777690887451172
1618323683.273607,147092,5.197284698486328
1618323685.8957253,147544,5.539672374725342
1618323686.5720901,147664,4.501544952392578
1618323689.4918478,148172,4.028581142425537
1618323695.5405228,149224,5.380731582641602
1618323696.900651,149464,6.1331658363342285
1618323700.323735,150064,4.00101375579834
1618323702.7232022,150484,3.270380973815918
1618323704.2970643,150752,3.4273319244384766
1618323705.3149977,150932,4.86684513092041
1618323705.6491303,150992,3.288538932800293
1618323706.1717076,151084,2.7867002487182617
1618323707.3604093,151292,5.265160083770752
1618323708.9196463,151564,5.392491340637207
1618323711.3110151,151984,3.4383130073547363
1618323711.6605084,152044,3.6006269454956055
1618323712.1552777,152132,2.603426933288574
1618323713.5941217,152372,4.7567973136901855
1618323713.7777267,152404,4.577854156494141
1618323718.7437956,153272,3.6699085235595703
1618323719.7876587,153452,3.9000725746154785
1618323723.9736998,154172,3.721081018447876
1618323727.5888383,154804,4.9495673179626465
1618323730.7447968,155344,4.565650939941406
1618323732.2875712,155612,3.181339979171753
1618323734.5681992,156004,3.856907367706299
1618323735.0771666,156092,4.351321697235107
1618323736.465443,156332,5.761529445648193
1618323743.4198508,157532,4.784594535827637
1618323746.3778841,158044,4.352272033691406
1618323748.1021197,158344,3.7975802421569824
1618323748.629272,158432,5.6757330894470215
1618323752.1281974,159032,5.965567111968994
1618323754.5862808,159452,3.669825553894043
1618323754.9284346,159512,5.031101226806641
1618323758.0515175,160052,5.8000407218933105
1618323758.7552001,160172,3.9556565284729004
1618323760.1540127,160412,3.658339500427246
1618323763.1077437,160924,3.00974702835083
1618323764.157797,161104,5.716136932373047
1618323768.256625,161824,5.18333625793457
1618323770.4932513,162212,3.936230421066284
1618323771.0200033,162304,3.265530586242676
1618323771.1764932,162332,4.658909797668457
1618323772.5580425,162572,3.617003917694092
1618323773.2437031,162692,2.9369211196899414
1618323774.4844136,162904,2.9630515575408936
1618323777.053276,163352,1.9881139993667603
1618323782.9785461,164372,4.535358428955078
1618323783.6746323,164492,4.290744781494141
